TRAVMONTH,TRAVYEAR,TRAVDATE,TRAVDOW,HHID,HHSIZE,OWNDWELL,YEARSLIVED,MONTHSLIVED,BICYCLES,CARS,HHINC,HOME_SA1_2016,WDHHWGT11
5,2009,1,5,BNE09H020233,1,1,16,0,0,1,325,3104419,239.21212768554687
4,2009,28,2,BNE09H020237,1,1,22,0,0,1,325,3104419,239.21212768554687
5,2009,12,2,BNE09H020416,1,1,26,0,0,1,325,3104129,239.21212768554687
6,2009,24,3,BNE09H021003,1,1,35,7,0,1,325,3137712,189.06556701660156
5,2009,8,5,BNE09H030340,1,1,38,3,0,1,325,3138643,189.06556701660156
5,2009,11,1,BNE09H030429,1,1,35,3,0,1,325,3138647,189.06556701660156
5,2009,11,1,BNE09H030436,1,1,28,0,0,1,325,3138601,189.06556701660156
6,2009,8,1,BNE09H040801,1,1,48,6,0,1,325,3110106,167.88571166992187
6,2009,18,4,BNE09H040911,1,1,43,7,0,1,325,3103115,213.21212768554687
6,2009,19,5,BNE09H040940,1,1,53,10,0,1,325,3103116,213.21212768554687
5,2009,22,5,BNE09H060505,1,1,21,0,0,1,325,3132913,139.85365295410156
6,2009,26,5,BNE09H061033,1,1,37,3,0,1,325,3100707,174.229736328125
6,2009,18,4,BNE09H070932,1,1,1,10,0,1,325,3131602,139.85365295410156
6,2009,23,2,BNE09H071023,1,1,17,3,0,1,325,3131706,139.85365295410156
4,2009,24,5,BNE09H090126,1,1,11,1,0,1,325,3102012,155.93975830078125
4,2009,24,5,BNE09H090133,1,1,18,0,0,1,325,3102014,155.93975830078125
4,2009,27,1,BNE09H090201,1,1,19,1,0,1,325,3104803,155.93975830078125
6,2009,17,3,BNE09H090924,1,1,53,1,0,1,325,3108903,167.88571166992187
6,2009,25,4,BNE09H111018,1,1,38,4,0,1,325,3128406,92.913665771484375
6,2009,22,1,BNE09H111036,1,1,38,4,0,1,325,3128406,92.913665771484375
5,2009,1,5,BNE09H120226,1,1,55,0,0,1,325,3101707,155.93975830078125
6,2009,23,2,BNE09H121002,1,1,1,6,0,1,325,3128603,92.913665771484375
5,2009,28,4,BNE09H130618,1,1,43,0,0,1,325,3105918,125.149658203125
5,2009,28,4,BNE09H130639,1,1,45,7,0,1,325,3105918,125.149658203125
6,2009,24,3,BNE09H131031,1,1,13,6,0,1,325,3128711,92.913665771484375
4,2009,21,2,BNE09H140137,1,1,14,0,0,1,325,3102107,155.93975830078125
