choiceSituationID,alternative_id,choice,BICYCLES,CARS,HHID,HHINC,HHSIZE,HOME_SA1_2016,YEARSLIVED,AGE,SEX,CARLICENCE,STUDYING,ORIGPLACE1,DEPTIME,ORIG_SA1_2016,DEST_SA1_2016,OVERALL_PURPOSE,NETWORK_DIST,leg,cap_10nfree,tookPlane,mode_time,fare_cap_10,off_peak_discount,base_fare
0,1,1,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,2,0,0,35.0,0.0,0.0,1.92
0,2,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,2,0,0,35.0,0.0,0.0,0.0
0,3,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,2,0,0,23.1,0.0,0.0,0.0
0,4,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,2,0,0,175.0,0.0,0.0,0.0
0,5,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,2,0,0,1050.0,0.0,0.0,0.0
0,7,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,2,0,0,42.0,0.0,0.0,0.0
1,1,1,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,3,0,0,25.0,0.0,0.0,1.92
1,2,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,3,0,0,25.0,0.0,0.0,0.0
1,3,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,3,0,0,16.5,0.0,0.0,0.0
1,4,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,3,0,0,125.0,0.0,0.0,0.0
1,5,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,3,0,0,750.0,0.0,0.0,0.0
1,7,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,3,0,0,30.0,0.0,0.0,0.0
2,1,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,4,0,0,7.5,0.0,0.0,1.92
2,2,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,4,0,0,7.5,0.0,0.0,0.0
2,3,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,4,0,0,5.0,0.0,0.0,0.0
2,4,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,4,0,0,37.5,0.0,0.0,0.0
2,5,1,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,4,0,0,225.0,0.0,0.0,0.0
2,7,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,3,1090,3110513,3154221,8,37.3380012512207,4,0,0,9.0,0.0,0.0,0.0
3,1,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,2,1095,3154221,3137910,5,2.1700000762939453,1,0,0,7.5,0.0,0.0,1.92
3,2,1,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,2,1095,3154221,3137910,5,2.1700000762939453,1,0,0,7.5,0.0,0.0,0.0
3,3,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,2,1095,3154221,3137910,5,2.1700000762939453,1,0,0,5.0,0.0,0.0,0.0
3,4,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,2,1095,3154221,3137910,5,2.1700000762939453,1,0,0,37.5,0.0,0.0,0.0
3,5,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,2,1095,3154221,3137910,5,2.1700000762939453,1,0,0,225.0,0.0,0.0,0.0
3,7,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,2,1095,3154221,3137910,5,2.1700000762939453,1,0,0,9.0,0.0,0.0,0.0
4,1,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,1,1125,3137910,3154221,5,2.1700000762939453,1,0,0,7.5,0.0,0.0,1.92
4,2,1,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,1,1125,3137910,3154221,5,2.1700000762939453,1,0,0,7.5,0.0,0.0,0.0
4,3,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,1,1125,3137910,3154221,5,2.1700000762939453,1,0,0,5.0,0.0,0.0,0.0
4,4,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,1,1125,3137910,3154221,5,2.1700000762939453,1,0,0,37.5,0.0,0.0,0.0
4,5,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,1,1125,3137910,3154221,5,2.1700000762939453,1,0,0,225.0,0.0,0.0,0.0
4,7,0,4,3,BNE09H010233,3675.0,4,3154221,22,24,1,1,6,1,1125,3137910,3154221,5,2.1700000762939453,1,0,0,9.0,0.0,0.0,0.0
